191 MO 123
191 MO 123,Ford
191 MO 123,Ford,Mondeo
191 MO 123,Ford,Mondeo,"25,000"
191 MO 123,Ford,Mondeo,"25,000",Update
191 MO 123,Ford,Mondeo,"25,000",Update,Delete
08 G 123
08 G 123,Nissan
08 G 123,Nissan,Almera
08 G 123,Nissan,Almera,500
08 G 123,Nissan,Almera,500,Update
08 G 123,Nissan,Almera,500,Update,Delete
12 D 123
12 D 123,Fiat
12 D 123,Fiat,Punto
12 D 123,Fiat,Punto,"4,000"
12 D 123,Fiat,Punto,"4,000",Update
12 D 123,Fiat,Punto,"4,000",Update,Delete
